WEEKS,FAULT,FAULT-CUMU,P(FAULT),P(FAULT-CUMU),UNCORRECTABLE,UNCORRECTABLE-CUMU,P(UNCORRECTABLE),P(UNCORRECTABLE-CUMU),UNDETERCTABLE,UNDETECTABLE-CUMU,P(UNDETECTABLE),P(UNDETECTABLE-CUMU)
0,34,34,0.003400,0.003400,34,34,0.003400,0.003400,34,34,0.003400,0.003400
12,27,61,0.002700,0.006100,27,61,0.002700,0.006100,27,61,0.002700,0.006100
24,22,83,0.002200,0.008300,22,83,0.002200,0.008300,22,83,0.002200,0.008300
36,25,108,0.002500,0.010800,25,108,0.002500,0.010800,25,108,0.002500,0.010800
48,22,130,0.002200,0.013000,22,130,0.002200,0.013000,22,130,0.002200,0.013000
60,17,147,0.001700,0.014700,17,147,0.001700,0.014700,17,147,0.001700,0.014700
72,25,172,0.002500,0.017200,25,172,0.002500,0.017200,25,172,0.002500,0.017200
84,24,196,0.002400,0.019600,24,196,0.002400,0.019600,24,196,0.002400,0.019600
96,28,224,0.002800,0.022400,28,224,0.002800,0.022400,28,224,0.002800,0.022400
108,32,256,0.003200,0.025600,32,256,0.003200,0.025600,32,256,0.003200,0.025600
120,23,279,0.002300,0.027900,23,279,0.002300,0.027900,23,279,0.002300,0.027900
132,33,312,0.003300,0.031200,33,312,0.003300,0.031200,33,312,0.003300,0.031200
144,20,332,0.002000,0.033200,20,332,0.002000,0.033200,20,332,0.002000,0.033200
156,18,350,0.001800,0.035000,18,350,0.001800,0.035000,18,350,0.001800,0.035000
168,22,372,0.002200,0.037200,22,372,0.002200,0.037200,22,372,0.002200,0.037200
180,28,400,0.002800,0.040000,28,400,0.002800,0.040000,28,400,0.002800,0.040000
192,15,415,0.001500,0.041500,15,415,0.001500,0.041500,15,415,0.001500,0.041500
204,21,436,0.002100,0.043600,21,436,0.002100,0.043600,21,436,0.002100,0.043600
216,27,463,0.002700,0.046300,27,463,0.002700,0.046300,27,463,0.002700,0.046300
228,31,494,0.003100,0.049400,31,494,0.003100,0.049400,31,494,0.003100,0.049400
240,21,515,0.002100,0.051500,21,515,0.002100,0.051500,21,515,0.002100,0.051500
252,22,537,0.002200,0.053700,22,537,0.002200,0.053700,22,537,0.002200,0.053700
264,21,558,0.002100,0.055800,21,558,0.002100,0.055800,21,558,0.002100,0.055800
276,23,581,0.002300,0.058100,23,581,0.002300,0.058100,23,581,0.002300,0.058100
288,25,606,0.002500,0.060600,25,606,0.002500,0.060600,25,606,0.002500,0.060600
300,21,627,0.002100,0.062700,21,627,0.002100,0.062700,21,627,0.002100,0.062700
312,18,645,0.001800,0.064500,18,645,0.001800,0.064500,18,645,0.001800,0.064500
324,21,666,0.002100,0.066600,21,666,0.002100,0.066600,21,666,0.002100,0.066600
336,26,692,0.002600,0.069200,26,692,0.002600,0.069200,26,692,0.002600,0.069200
348,27,719,0.002700,0.071900,27,719,0.002700,0.071900,27,719,0.002700,0.071900
