WEEKS,FAULT,FAULT-CUMU,P(FAULT),P(FAULT-CUMU),UNCORRECTABLE,UNCORRECTABLE-CUMU,P(UNCORRECTABLE),P(UNCORRECTABLE-CUMU),UNDETERCTABLE,UNDETECTABLE-CUMU,P(UNDETECTABLE),P(UNDETECTABLE-CUMU)
0,1,1,0.010000,0.010000,1,1,0.010000,0.010000,1,1,0.010000,0.010000
1,0,1,0.000000,0.010000,0,1,0.000000,0.010000,0,1,0.000000,0.010000
2,0,1,0.000000,0.010000,0,1,0.000000,0.010000,0,1,0.000000,0.010000
3,0,1,0.000000,0.010000,0,1,0.000000,0.010000,0,1,0.000000,0.010000
4,0,1,0.000000,0.010000,0,1,0.000000,0.010000,0,1,0.000000,0.010000
5,0,1,0.000000,0.010000,0,1,0.000000,0.010000,0,1,0.000000,0.010000
6,1,2,0.010000,0.020000,1,2,0.010000,0.020000,1,2,0.010000,0.020000
7,0,2,0.000000,0.020000,0,2,0.000000,0.020000,0,2,0.000000,0.020000
8,0,2,0.000000,0.020000,0,2,0.000000,0.020000,0,2,0.000000,0.020000
9,0,2,0.000000,0.020000,0,2,0.000000,0.020000,0,2,0.000000,0.020000
10,0,2,0.000000,0.020000,0,2,0.000000,0.020000,0,2,0.000000,0.020000
11,0,2,0.000000,0.020000,0,2,0.000000,0.020000,0,2,0.000000,0.020000
12,0,2,0.000000,0.020000,0,2,0.000000,0.020000,0,2,0.000000,0.020000
13,0,2,0.000000,0.020000,0,2,0.000000,0.020000,0,2,0.000000,0.020000
14,0,2,0.000000,0.020000,0,2,0.000000,0.020000,0,2,0.000000,0.020000
15,0,2,0.000000,0.020000,0,2,0.000000,0.020000,0,2,0.000000,0.020000
16,0,2,0.000000,0.020000,0,2,0.000000,0.020000,0,2,0.000000,0.020000
17,0,2,0.000000,0.020000,0,2,0.000000,0.020000,0,2,0.000000,0.020000
18,0,2,0.000000,0.020000,0,2,0.000000,0.020000,0,2,0.000000,0.020000
19,0,2,0.000000,0.020000,0,2,0.000000,0.020000,0,2,0.000000,0.020000
20,0,2,0.000000,0.020000,0,2,0.000000,0.020000,0,2,0.000000,0.020000
21,0,2,0.000000,0.020000,0,2,0.000000,0.020000,0,2,0.000000,0.020000
22,0,2,0.000000,0.020000,0,2,0.000000,0.020000,0,2,0.000000,0.020000
23,0,2,0.000000,0.020000,0,2,0.000000,0.020000,0,2,0.000000,0.020000
24,0,2,0.000000,0.020000,0,2,0.000000,0.020000,0,2,0.000000,0.020000
25,0,2,0.000000,0.020000,0,2,0.000000,0.020000,0,2,0.000000,0.020000
26,0,2,0.000000,0.020000,0,2,0.000000,0.020000,0,2,0.000000,0.020000
27,0,2,0.000000,0.020000,0,2,0.000000,0.020000,0,2,0.000000,0.020000
28,1,3,0.010000,0.030000,1,3,0.010000,0.030000,1,3,0.010000,0.030000
29,0,3,0.000000,0.030000,0,3,0.000000,0.030000,0,3,0.000000,0.030000
