WEEKS,FAULT,FAULT-CUMU,P(FAULT),P(FAULT-CUMU),UNCORRECTABLE,UNCORRECTABLE-CUMU,P(UNCORRECTABLE),P(UNCORRECTABLE-CUMU),UNDETERCTABLE,UNDETECTABLE-CUMU,P(UNDETECTABLE),P(UNDETECTABLE-CUMU)
0,129,129,0.001290,0.001290,129,129,0.001290,0.001290,0,0,0.000000,0.000000
12,116,245,0.001160,0.002450,116,245,0.001160,0.002450,0,0,0.000000,0.000000
24,111,356,0.001110,0.003560,111,356,0.001110,0.003560,0,0,0.000000,0.000000
36,130,486,0.001300,0.004860,130,486,0.001300,0.004860,0,0,0.000000,0.000000
48,123,609,0.001230,0.006090,123,609,0.001230,0.006090,0,0,0.000000,0.000000
60,124,733,0.001240,0.007330,124,733,0.001240,0.007330,0,0,0.000000,0.000000
72,129,862,0.001290,0.008620,129,862,0.001290,0.008620,0,0,0.000000,0.000000
84,110,972,0.001100,0.009720,110,972,0.001100,0.009720,0,0,0.000000,0.000000
96,135,1107,0.001350,0.011070,135,1107,0.001350,0.011070,0,0,0.000000,0.000000
108,122,1229,0.001220,0.012290,122,1229,0.001220,0.012290,0,0,0.000000,0.000000
120,120,1349,0.001200,0.013490,120,1349,0.001200,0.013490,0,0,0.000000,0.000000
132,130,1479,0.001300,0.014790,130,1479,0.001300,0.014790,0,0,0.000000,0.000000
144,119,1598,0.001190,0.015980,119,1598,0.001190,0.015980,0,0,0.000000,0.000000
156,109,1707,0.001090,0.017070,109,1707,0.001090,0.017070,0,0,0.000000,0.000000
168,134,1841,0.001340,0.018410,134,1841,0.001340,0.018410,0,0,0.000000,0.000000
180,123,1964,0.001230,0.019640,123,1964,0.001230,0.019640,0,0,0.000000,0.000000
192,131,2095,0.001310,0.020950,131,2095,0.001310,0.020950,0,0,0.000000,0.000000
204,125,2220,0.001250,0.022200,125,2220,0.001250,0.022200,0,0,0.000000,0.000000
216,124,2344,0.001240,0.023440,124,2344,0.001240,0.023440,0,0,0.000000,0.000000
228,107,2451,0.001070,0.024510,107,2451,0.001070,0.024510,0,0,0.000000,0.000000
240,125,2576,0.001250,0.025760,125,2576,0.001250,0.025760,0,0,0.000000,0.000000
252,113,2689,0.001130,0.026890,113,2689,0.001130,0.026890,0,0,0.000000,0.000000
264,118,2807,0.001180,0.028070,118,2807,0.001180,0.028070,0,0,0.000000,0.000000
276,117,2924,0.001170,0.029240,117,2924,0.001170,0.029240,0,0,0.000000,0.000000
288,110,3034,0.001100,0.030340,110,3034,0.001100,0.030340,0,0,0.000000,0.000000
300,128,3162,0.001280,0.031620,128,3162,0.001280,0.031620,0,0,0.000000,0.000000
312,124,3286,0.001240,0.032860,124,3286,0.001240,0.032860,0,0,0.000000,0.000000
324,122,3408,0.001220,0.034080,122,3408,0.001220,0.034080,0,0,0.000000,0.000000
336,120,3528,0.001200,0.035280,120,3528,0.001200,0.035280,0,0,0.000000,0.000000
348,124,3652,0.001240,0.036520,124,3652,0.001240,0.036520,0,0,0.000000,0.000000
