WEEKS,FAULT,FAULT-CUMU,P(FAULT),P(FAULT-CUMU),UNCORRECTABLE,UNCORRECTABLE-CUMU,P(UNCORRECTABLE),P(UNCORRECTABLE-CUMU),UNDETERCTABLE,UNDETECTABLE-CUMU,P(UNDETECTABLE),P(UNDETECTABLE-CUMU)
0,124,124,0.001240,0.001240,124,124,0.001240,0.001240,0,0,0.000000,0.000000
12,122,246,0.001220,0.002460,122,246,0.001220,0.002460,0,0,0.000000,0.000000
24,101,347,0.001010,0.003470,101,347,0.001010,0.003470,0,0,0.000000,0.000000
36,110,457,0.001100,0.004570,110,457,0.001100,0.004570,0,0,0.000000,0.000000
48,124,581,0.001240,0.005810,124,581,0.001240,0.005810,0,0,0.000000,0.000000
60,122,703,0.001220,0.007030,122,703,0.001220,0.007030,0,0,0.000000,0.000000
72,136,839,0.001360,0.008390,136,839,0.001360,0.008390,0,0,0.000000,0.000000
84,135,974,0.001350,0.009740,135,974,0.001350,0.009740,0,0,0.000000,0.000000
96,115,1089,0.001150,0.010890,115,1089,0.001150,0.010890,0,0,0.000000,0.000000
108,132,1221,0.001320,0.012210,132,1221,0.001320,0.012210,0,0,0.000000,0.000000
120,112,1333,0.001120,0.013330,112,1333,0.001120,0.013330,0,0,0.000000,0.000000
132,126,1459,0.001260,0.014590,126,1459,0.001260,0.014590,0,0,0.000000,0.000000
144,120,1579,0.001200,0.015790,120,1579,0.001200,0.015790,0,0,0.000000,0.000000
156,111,1690,0.001110,0.016900,111,1690,0.001110,0.016900,0,0,0.000000,0.000000
168,120,1810,0.001200,0.018100,120,1810,0.001200,0.018100,0,0,0.000000,0.000000
180,132,1942,0.001320,0.019420,132,1942,0.001320,0.019420,0,0,0.000000,0.000000
192,136,2078,0.001360,0.020780,136,2078,0.001360,0.020780,0,0,0.000000,0.000000
204,121,2199,0.001210,0.021990,121,2199,0.001210,0.021990,0,0,0.000000,0.000000
216,121,2320,0.001210,0.023200,121,2320,0.001210,0.023200,0,0,0.000000,0.000000
228,130,2450,0.001300,0.024500,130,2450,0.001300,0.024500,0,0,0.000000,0.000000
240,110,2560,0.001100,0.025600,110,2560,0.001100,0.025600,0,0,0.000000,0.000000
252,115,2675,0.001150,0.026750,115,2675,0.001150,0.026750,0,0,0.000000,0.000000
264,135,2810,0.001350,0.028100,135,2810,0.001350,0.028100,0,0,0.000000,0.000000
276,118,2928,0.001180,0.029280,118,2928,0.001180,0.029280,0,0,0.000000,0.000000
288,136,3064,0.001360,0.030640,136,3064,0.001360,0.030640,0,0,0.000000,0.000000
300,126,3190,0.001260,0.031900,126,3190,0.001260,0.031900,0,0,0.000000,0.000000
312,106,3296,0.001060,0.032960,106,3296,0.001060,0.032960,0,0,0.000000,0.000000
324,143,3439,0.001430,0.034390,143,3439,0.001430,0.034390,0,0,0.000000,0.000000
336,127,3566,0.001270,0.035660,127,3566,0.001270,0.035660,0,0,0.000000,0.000000
348,120,3686,0.001200,0.036860,120,3686,0.001200,0.036860,0,0,0.000000,0.000000
