WEEKS,FAULT,FAULT-CUMU,P(FAULT),P(FAULT-CUMU),UNCORRECTABLE,UNCORRECTABLE-CUMU,P(UNCORRECTABLE),P(UNCORRECTABLE-CUMU),UNDETERCTABLE,UNDETECTABLE-CUMU,P(UNDETECTABLE),P(UNDETECTABLE-CUMU)
0,96,96,0.000960,0.000960,96,96,0.000960,0.000960,96,96,0.000960,0.000960
12,95,191,0.000950,0.001910,95,191,0.000950,0.001910,95,191,0.000950,0.001910
24,93,284,0.000930,0.002840,93,284,0.000930,0.002840,93,284,0.000930,0.002840
36,78,362,0.000780,0.003620,78,362,0.000780,0.003620,78,362,0.000780,0.003620
48,103,465,0.001030,0.004650,103,465,0.001030,0.004650,103,465,0.001030,0.004650
60,89,554,0.000890,0.005540,89,554,0.000890,0.005540,89,554,0.000890,0.005540
72,116,670,0.001160,0.006700,116,670,0.001160,0.006700,116,670,0.001160,0.006700
84,97,767,0.000970,0.007670,97,767,0.000970,0.007670,97,767,0.000970,0.007670
96,96,863,0.000960,0.008630,96,863,0.000960,0.008630,96,863,0.000960,0.008630
108,98,961,0.000980,0.009610,98,961,0.000980,0.009610,98,961,0.000980,0.009610
120,97,1058,0.000970,0.010580,97,1058,0.000970,0.010580,97,1058,0.000970,0.010580
132,89,1147,0.000890,0.011470,89,1147,0.000890,0.011470,89,1147,0.000890,0.011470
144,92,1239,0.000920,0.012390,92,1239,0.000920,0.012390,92,1239,0.000920,0.012390
156,87,1326,0.000870,0.013260,87,1326,0.000870,0.013260,87,1326,0.000870,0.013260
168,110,1436,0.001100,0.014360,110,1436,0.001100,0.014360,110,1436,0.001100,0.014360
180,91,1527,0.000910,0.015270,91,1527,0.000910,0.015270,91,1527,0.000910,0.015270
192,98,1625,0.000980,0.016250,98,1625,0.000980,0.016250,98,1625,0.000980,0.016250
204,107,1732,0.001070,0.017320,107,1732,0.001070,0.017320,107,1732,0.001070,0.017320
216,92,1824,0.000920,0.018240,92,1824,0.000920,0.018240,92,1824,0.000920,0.018240
228,77,1901,0.000770,0.019010,77,1901,0.000770,0.019010,77,1901,0.000770,0.019010
240,70,1971,0.000700,0.019710,70,1971,0.000700,0.019710,70,1971,0.000700,0.019710
252,93,2064,0.000930,0.020640,93,2064,0.000930,0.020640,93,2064,0.000930,0.020640
264,96,2160,0.000960,0.021600,96,2160,0.000960,0.021600,96,2160,0.000960,0.021600
276,84,2244,0.000840,0.022440,84,2244,0.000840,0.022440,84,2244,0.000840,0.022440
288,92,2336,0.000920,0.023360,92,2336,0.000920,0.023360,92,2336,0.000920,0.023360
300,99,2435,0.000990,0.024350,99,2435,0.000990,0.024350,99,2435,0.000990,0.024350
312,96,2531,0.000960,0.025310,96,2531,0.000960,0.025310,96,2531,0.000960,0.025310
324,110,2641,0.001100,0.026410,110,2641,0.001100,0.026410,110,2641,0.001100,0.026410
336,100,2741,0.001000,0.027410,100,2741,0.001000,0.027410,100,2741,0.001000,0.027410
348,96,2837,0.000960,0.028370,96,2837,0.000960,0.028370,96,2837,0.000960,0.028370
