WEEKS,FAULT,FAULT-CUMU,P(FAULT),P(FAULT-CUMU),UNCORRECTABLE,UNCORRECTABLE-CUMU,P(UNCORRECTABLE),P(UNCORRECTABLE-CUMU),UNDETERCTABLE,UNDETECTABLE-CUMU,P(UNDETECTABLE),P(UNDETECTABLE-CUMU)
0,0,0,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0.000000,0.000000
1,0,0,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0.000000,0.000000
2,0,0,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0.000000,0.000000
3,0,0,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0.000000,0.000000
4,0,0,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0.000000,0.000000
5,0,0,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0.000000,0.000000
6,0,0,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0.000000,0.000000
7,0,0,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0.000000,0.000000
8,0,0,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0.000000,0.000000
9,0,0,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0.000000,0.000000
10,0,0,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0.000000,0.000000
11,0,0,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0.000000,0.000000
12,0,0,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0.000000,0.000000
13,0,0,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0.000000,0.000000
14,0,0,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0.000000,0.000000
15,0,0,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0.000000,0.000000
16,0,0,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0.000000,0.000000
17,0,0,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0.000000,0.000000
18,0,0,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0.000000,0.000000
19,0,0,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0.000000,0.000000
20,0,0,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0.000000,0.000000
21,0,0,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0.000000,0.000000
22,0,0,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0.000000,0.000000
23,0,0,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0.000000,0.000000
