WEEKS,FAULT,FAULT-CUMU,P(FAULT),P(FAULT-CUMU),UNCORRECTABLE,UNCORRECTABLE-CUMU,P(UNCORRECTABLE),P(UNCORRECTABLE-CUMU),UNDETERCTABLE,UNDETECTABLE-CUMU,P(UNDETECTABLE),P(UNDETECTABLE-CUMU)
0,17,17,0.001700,0.001700,17,17,0.001700,0.001700,17,17,0.001700,0.001700
12,23,40,0.002300,0.004000,23,40,0.002300,0.004000,23,40,0.002300,0.004000
24,27,67,0.002700,0.006700,27,67,0.002700,0.006700,27,67,0.002700,0.006700
36,30,97,0.003000,0.009700,30,97,0.003000,0.009700,30,97,0.003000,0.009700
48,22,119,0.002200,0.011900,22,119,0.002200,0.011900,22,119,0.002200,0.011900
60,32,151,0.003200,0.015100,32,151,0.003200,0.015100,32,151,0.003200,0.015100
72,21,172,0.002100,0.017200,21,172,0.002100,0.017200,21,172,0.002100,0.017200
84,31,203,0.003100,0.020300,31,203,0.003100,0.020300,31,203,0.003100,0.020300
96,23,226,0.002300,0.022600,23,226,0.002300,0.022600,23,226,0.002300,0.022600
108,24,250,0.002400,0.025000,24,250,0.002400,0.025000,24,250,0.002400,0.025000
120,25,275,0.002500,0.027500,25,275,0.002500,0.027500,25,275,0.002500,0.027500
132,25,300,0.002500,0.030000,25,300,0.002500,0.030000,25,300,0.002500,0.030000
144,20,320,0.002000,0.032000,20,320,0.002000,0.032000,20,320,0.002000,0.032000
156,15,335,0.001500,0.033500,15,335,0.001500,0.033500,15,335,0.001500,0.033500
168,22,357,0.002200,0.035700,22,357,0.002200,0.035700,22,357,0.002200,0.035700
180,23,380,0.002300,0.038000,23,380,0.002300,0.038000,23,380,0.002300,0.038000
192,20,400,0.002000,0.040000,20,400,0.002000,0.040000,20,400,0.002000,0.040000
204,30,430,0.003000,0.043000,30,430,0.003000,0.043000,30,430,0.003000,0.043000
216,39,469,0.003900,0.046900,39,469,0.003900,0.046900,39,469,0.003900,0.046900
228,33,502,0.003300,0.050200,33,502,0.003300,0.050200,33,502,0.003300,0.050200
240,22,524,0.002200,0.052400,22,524,0.002200,0.052400,22,524,0.002200,0.052400
252,17,541,0.001700,0.054100,17,541,0.001700,0.054100,17,541,0.001700,0.054100
264,27,568,0.002700,0.056800,27,568,0.002700,0.056800,27,568,0.002700,0.056800
276,24,592,0.002400,0.059200,24,592,0.002400,0.059200,24,592,0.002400,0.059200
288,25,617,0.002500,0.061700,25,617,0.002500,0.061700,25,617,0.002500,0.061700
300,22,639,0.002200,0.063900,22,639,0.002200,0.063900,22,639,0.002200,0.063900
312,35,674,0.003500,0.067400,35,674,0.003500,0.067400,35,674,0.003500,0.067400
324,18,692,0.001800,0.069200,18,692,0.001800,0.069200,18,692,0.001800,0.069200
336,34,726,0.003400,0.072600,34,726,0.003400,0.072600,34,726,0.003400,0.072600
348,22,748,0.002200,0.074800,22,748,0.002200,0.074800,22,748,0.002200,0.074800
